lg_code,pref,pref_kana,pref_roma,county,county_kana,county_roma,city,city_kana,city_roma,ward,ward_kana,ward_roma,efct_date,ablt_date,remarks
322016,島根県,シマネケン,Shimane,,,,松江市,マツエシ,Matsue-shi,,,,1947-04-17,,
322024,島根県,シマネケン,Shimane,,,,浜田市,ハマダシ,Hamada-shi,,,,1947-04-17,,
322032,島根県,シマネケン,Shimane,,,,出雲市,イズモシ,Izumo-shi,,,,1947-04-17,,
322041,島根県,シマネケン,Shimane,,,,益田市,マスダシ,Masuda-shi,,,,1947-04-17,,
322059,島根県,シマネケン,Shimane,,,,大田市,オオダシ,Oda-shi,,,,1947-04-17,,
322067,島根県,シマネケン,Shimane,,,,安来市,ヤスギシ,Yasugi-shi,,,,1947-04-17,,
322075,島根県,シマネケン,Shimane,,,,江津市,ゴウツシ,Gotsu-shi,,,,1947-04-17,,
322091,島根県,シマネケン,Shimane,,,,雲南市,ウンナンシ,Unnan-shi,,,,1947-04-17,,
323438,島根県,シマネケン,Shimane,仁多郡,ニタグン,Nita-gun,奥出雲町,オクイズモチョウ,Okuizumo-cho,,,,1947-04-17,,
323861,島根県,シマネケン,Shimane,飯石郡,イイシグン,Iishi-gun,飯南町,イイナンチョウ,Iinan-cho,,,,1947-04-17,,
324418,島根県,シマネケン,Shimane,邑智郡,オオチグン,Ochi-gun,川本町,カワモトマチ,Kawamoto-machi,,,,1947-04-17,,
324485,島根県,シマネケン,Shimane,邑智郡,オオチグン,Ochi-gun,美郷町,ミサトチョウ,Misato-cho,,,,1947-04-17,,
324493,島根県,シマネケン,Shimane,邑智郡,オオチグン,Ochi-gun,邑南町,オオナンチョウ,Onan-cho,,,,1947-04-17,,
325015,島根県,シマネケン,Shimane,鹿足郡,カノアシグン,Kanoashi-gun,津和野町,ツワノチョウ,Tsuwano-cho,,,,1947-04-17,,
325058,島根県,シマネケン,Shimane,鹿足郡,カノアシグン,Kanoashi-gun,吉賀町,ヨシカチョウ,Yoshika-cho,,,,1947-04-17,,
325252,島根県,シマネケン,Shimane,隠岐郡,オキグン,Oki-gun,海士町,アマチョウ,Ama-cho,,,,1947-04-17,,
325261,島根県,シマネケン,Shimane,隠岐郡,オキグン,Oki-gun,西ノ島町,ニシノシマチョウ,Nishinoshima-cho,,,,1947-04-17,,
325279,島根県,シマネケン,Shimane,隠岐郡,オキグン,Oki-gun,知夫村,チブムラ,Chibu-mura,,,,1947-04-17,,
325287,島根県,シマネケン,Shimane,隠岐郡,オキグン,Oki-gun,隠岐の島町,オキノシマチョウ,Okinoshima-cho,,,,1947-04-17,,
